,tweet_id,retweet_count,favorite_count,followers_count
1922,668986018524233728,140,484,9228982
1923,668981893510119424,261,488,9228982
1924,668979806671884288,295,709,9228982
1925,668975677807423489,503,1162,9228982
1926,668960084974809088,212,622,9228982
1927,668955713004314625,63,242,9228982
1928,668932921458302977,50,229,9228982
1929,668902994700836864,88,277,9228982
1930,668892474547511297,128,357,9228982
1931,668872652652679168,268,478,9228982
1932,668852170888998912,139,411,9228982
1933,668826086256599040,113,384,9228982
1934,668815180734689280,227,501,9228982
1935,668779399630725120,327,636,9228982
1936,668655139528511488,192,479,9228982
1937,668645506898350081,462,785,9228982
1938,668643542311546881,450,792,9228982
1939,668641109086707712,471,952,9228982
1940,668636665813057536,436,926,9228982
1941,668633411083464705,1393,2481,9228982
1942,668631377374486528,283,627,9228982
1943,668627278264475648,97,282,9228982
1944,668625577880875008,112,332,9228982
1945,668623201287675904,655,1255,9228982
1946,668620235289837568,35,182,9228982
1947,668614819948453888,274,548,9228982
1948,668587383441514497,931,1488,9228982
1949,668567822092664832,47,208,9228982
1950,668544745690562560,198,453,9228982
1951,668542336805281792,183,403,9228982
1952,668537837512433665,61,226,9228982
1953,668528771708952576,190,408,9228982
1954,668507509523615744,88,282,9228982
1955,668496999348633600,115,363,9228982
1956,668484198282485761,209,373,9228982
1957,668480044826800133,128,402,9228982
1958,668466899341221888,444,778,9228982
1959,668297328638447616,256,558,9228982
1960,668291999406125056,28,213,9228982
1961,668286279830867968,119,440,9228982
1962,668274247790391296,198,729,9228982
1963,668268907921326080,207,488,9228982
1964,668256321989451776,521,1157,9228982
1965,668248472370458624,411,845,9228982
1966,668237644992782336,2451,5499,9228982
1967,668226093875376128,85,251,9228982
1968,668221241640230912,171,455,9228982
1969,668204964695683073,173,494,9228982
1970,668190681446379520,171,581,9228982
1971,668171859951755264,162,428,9228982
1972,668154635664932864,273,444,9228982
1973,668142349051129856,241,512,9228982
1974,668113020489474048,208,590,9228982
1975,667937095915278337,698,1117,9228982
1976,667924896115245057,96,265,9228982
1977,667915453470232577,46,185,9229367
1978,667911425562669056,248,433,9228982
1979,667902449697558528,337,765,9228982
1980,667886921285246976,914,1654,9228982
1981,667885044254572545,403,735,9228982
1982,667878741721415682,101,349,9228982
1983,667873844930215936,345,556,9228982
1984,667866724293877760,906,2736,9228982
1985,667861340749471744,69,221,9228982
1986,667832474953625600,55,257,9228982
1987,667806454573760512,423,937,9228982
1988,667801013445750784,82,286,9228982
1989,667793409583771648,288,613,9228982
1990,667782464991965184,210,365,9228982
1991,667773195014021121,44,207,9228982
1992,667766675769573376,187,379,9228982
1993,667728196545200128,128,325,9228982
1994,667724302356258817,272,427,9228982
1995,667549055577362432,1978,5148,9228982
1996,667546741521195010,109,303,9228982
1997,667544320556335104,462,767,9228982
1998,667538891197542400,58,176,9228982
1999,667534815156183040,452,727,9228982
2000,667530908589760512,208,414,9228982
2001,667524857454854144,975,1515,9228982
2002,667517642048163840,167,333,9228982
2003,667509364010450944,1871,6119,9228982
2004,667502640335572993,195,486,9228982
2005,667495797102141441,232,459,9228982
2006,667491009379606528,193,461,9228982
2007,667470559035432960,85,225,9228982
2008,667455448082227200,53,171,9228982
2009,667453023279554560,75,281,9228982
2010,667443425659232256,494,684,9228982
2011,667437278097252352,203,399,9228982
2012,667435689202614272,77,271,9228982
2013,667405339315146752,197,417,9228982
2014,667393430834667520,50,170,9228982
2015,667369227918143488,145,330,9228982
2016,667211855547486208,211,430,9228982
2017,667200525029539841,230,549,9228982
2018,667192066997374976,87,334,9228982
2019,667188689915760640,335,647,9228982
2020,667182792070062081,5320,12646,9228982
2021,667177989038297088,48,168,9228982
2022,667176164155375616,392,530,9228982
2023,667174963120574464,70,219,9228982
2024,667171260800061440,72,187,9228982
2025,667165590075940865,979,2391,9228982
2026,667160273090932737,53,222,9228982
2027,667152164079423490,14734,42586,9228982
2028,667138269671505920,1884,4042,9228982
2029,667119796878725120,108,290,9228982
2030,667090893657276420,107,291,9228982
2031,667073648344346624,104,354,9228982
2032,667065535570550784,40,144,9228983
2033,667062181243039745,45,192,9228983
2034,667044094246576128,43,163,9228983
2035,667012601033924608,188,397,9228983
2036,666996132027977728,79,216,9228983
2037,666983947667116034,849,2262,9228983
2038,666837028449972224,475,709,9228983
2039,666835007768551424,67,186,9228983
2040,666826780179869698,80,221,9228983
2041,666817836334096384,214,447,9228983
2042,666804364988780544,79,206,9228983
2043,666786068205871104,413,662,9228983
2044,666781792255496192,169,331,9229426
2045,666776908487630848,150,306,9228983
2046,666739327293083650,60,209,9228983
2047,666701168228331520,183,372,9228983
2048,666691418707132416,42,161,9228983
2049,666649482315059201,531,1000,9228983
2050,666644823164719104,71,210,9228983
2051,666454714377183233,184,450,9228983
2052,666447344410484738,19,90,9228983
2053,666437273139982337,40,106,9228983
2054,666435652385423360,42,139,9228983
2055,666430724426358785,163,280,9228983
2056,666428276349472768,67,139,9228983
2057,666421158376562688,93,277,9228983
2058,666418789513326592,39,108,9228983
2059,666411507551481857,263,374,9228983
2060,666407126856765440,30,93,9228983
2061,666396247373291520,69,148,9228983
2062,666373753744588802,73,163,9228983
2063,666362758909284353,471,655,9228983
2064,666353288456101888,58,179,9228983
2065,666345417576210432,126,248,9228983
2066,666337882303524864,80,168,9228983
2067,666293911632134144,294,431,9228983
2068,666287406224695296,57,124,9228983
2069,666273097616637952,68,152,9228983
2070,666268910803644416,38,99,9228983
2071,666104133288665088,5517,12994,9228983
2072,666102155909144576,11,66,9228983
2073,666099513787052032,54,134,9228983
2074,666094000022159362,64,143,9228983
2075,666082916733198337,38,93,9228983
2076,666073100786774016,132,274,9228983
2077,666071193221509120,51,128,9228983
2078,666063827256086533,181,403,9228983
2079,666058600524156928,47,99,9228983
2080,666057090499244032,113,252,9228983
2081,666055525042405380,199,368,9228983
2082,666051853826850816,710,1034,9228983
2083,666050758794694657,50,115,9228983
2084,666049248165822465,37,89,9228983
2085,666044226329800704,116,247,9228983
2086,666033412701032449,36,100,9228983
2087,666029285002620928,39,112,9228983
2088,666020888022790149,424,2308,9228983
